image_id,file_name,pair,timeframe,year,start_datetime,end_datetime,session,news_category,trend,volatility,source,status,notes
GBPUSD_H1_2020_20200101_000000_0001,gbpusd_h1_2020_20200101_000000_0001.png,GBPUSD,H1,2020,2020-01-01 00:00:00,2020-01-08 07:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200108_080000_0002,gbpusd_h1_2020_20200108_080000_0002.png,GBPUSD,H1,2020,2020-01-08 08:00:00,2020-01-14 11:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200114_120000_0003,gbpusd_h1_2020_20200114_120000_0003.png,GBPUSD,H1,2020,2020-01-14 12:00:00,2020-01-20 15:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200120_160000_0004,gbpusd_h1_2020_20200120_160000_0004.png,GBPUSD,H1,2020,2020-01-20 16:00:00,2020-01-24 19:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200124_200000_0005,gbpusd_h1_2020_20200124_200000_0005.png,GBPUSD,H1,2020,2020-01-24 20:00:00,2020-01-30 23:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200131_000000_0006,gbpusd_h1_2020_20200131_000000_0006.png,GBPUSD,H1,2020,2020-01-31 00:00:00,2020-02-06 03:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200206_040000_0007,gbpusd_h1_2020_20200206_040000_0007.png,GBPUSD,H1,2020,2020-02-06 04:00:00,2020-02-12 07:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200212_080000_0008,gbpusd_h1_2020_20200212_080000_0008.png,GBPUSD,H1,2020,2020-02-12 08:00:00,2020-02-18 11:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200218_120000_0009,gbpusd_h1_2020_20200218_120000_0009.png,GBPUSD,H1,2020,2020-02-18 12:00:00,2020-02-24 15:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
GBPUSD_H1_2020_20200224_160000_0010,gbpusd_h1_2020_20200224_160000_0010.png,GBPUSD,H1,2020,2020-02-24 16:00:00,2020-02-28 19:00:00,intraday,unclassified,unclassified,unclassified,generated_from_ohlcv,raw_chart,Generated from GBPUSD_H1_2020_RAW.csv
